change_percent,change_value,first,gregorian_date,last,max,min,solar_date
0.17%,27000,"15,949,000",2018/03/06,"15,888,000","15,949,000","15,800,000",1396/12/15
0.18%,29000,"15,916,000",2018/03/05,"15,917,000","15,924,000","15,860,000",1396/12/14
-0.04%,-7000,"15,700,000",2018/03/04,"15,910,000","15,920,000","15,700,000",1396/12/13
-1.14%,-180000,"15,531,000",2018/03/03,"15,730,000","15,750,000","15,531,000",1396/12/12
-1.26%,-195000,"15,536,000",2018/03/02,"15,535,000","15,552,000","15,496,000",1396/12/11
-0.21%,-32000,"15,530,500",2018/03/01,"15,503,000","15,537,500","15,472,000",1396/12/10
0.3%,47000,"15,421,000",2018/02/28,"15,550,000","15,550,000","15,419,500",1396/12/9
-0.87%,-134000,"15,420,000",2018/02/27,"15,416,000","15,425,500","15,350,000",1396/12/8
-0.3%,-46000,"15,400,000",2018/02/26,"15,370,000","15,400,000","15,300,000",1396/12/7
-1.12%,-170000,"15,090,000",2018/02/25,"15,200,000","15,300,000","15,090,000",1396/12/6
-0.66%,-100000,"14,794,000",2018/02/24,"15,100,000","15,250,000","14,785,000",1396/12/5
-2.11%,-312000,"14,791,000",2018/02/23,"14,788,000","14,800,000","14,782,000",1396/12/4
0.07%,11000,"14,770,000",2018/02/22,"14,799,000","14,807,000","14,770,000",1396/12/3
-0.33%,-49000,"14,857,500",2018/02/21,"14,750,000","14,900,000","14,750,000",1396/12/2
0.76%,112500,"15,015,000",2018/02/19,"14,862,500","15,015,000","14,820,000",1396/11/30
1.04%,155000,"15,130,000",2018/02/18,"15,017,500","15,155,000","14,952,500",1396/11/29
0.92%,137500,"15,632,500",2018/02/17,"15,155,000","15,667,500","15,155,000",1396/11/28
4.09%,620000,"15,955,000",2018/02/14,"15,775,000","15,965,000","15,775,000",1396/11/25
0.82%,130000,"15,790,000",2018/02/13,"15,905,000","15,985,000","15,790,000",1396/11/24
-1.05%,-165000,"15,430,000",2018/02/12,"15,740,000","15,785,000","15,430,000",1396/11/23
-1.94%,-300000,"15,495,000",2018/02/11,"15,440,000","15,550,000","15,420,000",1396/11/22
-0.1%,-15000,"15,255,000",2018/02/10,"15,425,000","15,440,000","15,245,000",1396/11/21
-1.15%,-175000,"15,215,000",2018/02/08,"15,250,000","15,265,000","15,090,000",1396/11/19
-0.3%,-45000,"15,195,000",2018/02/07,"15,205,000","15,335,000","15,185,000",1396/11/18
0.13%,20000,"15,245,000",2018/02/06,"15,225,000","15,310,000","15,220,000",1396/11/17
,0,"15,190,000",2018/02/05,"15,225,000","15,295,000","15,125,000",1396/11/16
-0.2%,-30000,"15,100,000",2018/02/04,"15,195,000","15,295,000","15,095,000",1396/11/15
-0.66%,-100000,"14,975,000",2018/02/03,"15,095,000","15,130,000","14,970,000",1396/11/14
-1.21%,-180000,"15,145,000",2018/02/01,"14,915,000","15,145,000","14,905,000",1396/11/12
0.8%,120000,"14,925,000",2018/01/31,"15,035,000","15,055,000","14,835,000",1396/11/11
-1.08%,-160000,"14,785,000",2018/01/30,"14,875,000","14,880,000","14,725,000",1396/11/10
-0.71%,-105000,"14,910,000",2018/01/29,"14,770,000","14,925,000","14,745,000",1396/11/9
0.81%,120000,"14,770,000",2018/01/28,"14,890,000","14,900,000","14,765,000",1396/11/8
-0.78%,-115000,"14,885,000",2018/01/27,"14,775,000","14,925,000","14,685,000",1396/11/7
2.74%,405000,"15,225,000",2018/01/25,"15,180,000","15,265,000","15,145,000",1396/11/5
0.07%,10000,"15,200,000",2018/01/24,"15,190,000","15,265,000","15,145,000",1396/11/4
-0.07%,-10000,"15,290,000",2018/01/23,"15,180,000","15,400,000","15,160,000",1396/11/3
0.69%,105000,"15,285,000",2018/01/22,"15,285,000","15,375,000","15,235,000",1396/11/2
-0.02%,-3000,"15,205,000",2018/01/21,"15,282,000","15,297,000","15,137,000",1396/11/1
-0.57%,-87000,"15,050,000",2018/01/20,"15,195,000","15,220,000","15,050,000",1396/10/30
-1.13%,-170000,"15,135,000",2018/01/18,"15,025,000","15,140,000","14,995,000",1396/10/28
0.83%,125000,"15,005,000",2018/01/17,"15,150,000","15,155,000","14,995,000",1396/10/27
-1.41%,-210000,"14,935,000",2018/01/16,"14,940,000","15,005,000","14,921,000",1396/10/26
-0.13%,-20000,"14,872,000",2018/01/15,"14,920,000","14,950,000","14,865,000",1396/10/25
-0.29%,-43000,"15,020,000",2018/01/14,"14,877,000","15,107,000","14,827,000",1396/10/24
0.93%,138000,"14,850,000",2018/01/13,"15,015,000","15,040,000","14,815,000",1396/10/23
-0.6%,-90000,"14,950,000",2018/01/11,"14,925,000","15,015,000","14,843,000",1396/10/21
0.13%,20000,"14,725,000",2018/01/10,"14,945,000","14,965,000","14,700,000",1396/10/20
-1.67%,-245000,"14,703,000",2018/01/09,"14,700,000","14,715,000","14,643,000",1396/10/19
-0.12%,-17000,"14,675,000",2018/01/08,"14,683,000","14,775,000","14,640,000",1396/10/18
0.12%,17000,"14,700,000",2018/01/07,"14,700,000","14,735,000","14,620,000",1396/10/17
0.17%,25000,"14,635,000",2018/01/06,"14,725,000","14,785,000","14,575,000",1396/10/16
-0.48%,-70000,"15,015,000",2018/01/04,"14,655,000","15,025,000","14,560,000",1396/10/14
2.56%,375000,"14,992,500",2018/01/03,"15,030,000","15,120,000","14,945,000",1396/10/13
-0.82%,-122500,"14,855,000",2018/01/02,"14,907,500","15,030,000","14,805,000",1396/10/12
-0.12%,-17500,"14,555,000",2018/01/01,"14,890,000","14,975,000","14,542,500",1396/10/11
-2.69%,-390000,"14,474,000",2017/12/31,"14,500,000","14,650,000","14,315,000",1396/10/10
-0.46%,-66000,"14,213,000",2017/12/30,"14,434,000","14,469,000","14,175,000",1396/10/9
-2.02%,-286000,"14,125,000",2017/12/28,"14,148,000","14,161,000","14,108,000",1396/10/7
-0.25%,-35000,"14,078,000",2017/12/27,"14,113,000","14,153,000","14,068,000",1396/10/6
-0.5%,-70000,"13,972,000",2017/12/26,"14,043,000","14,048,000","13,972,000",1396/10/5
-0.53%,-74000,"13,953,000",2017/12/25,"13,969,000","13,969,000","13,940,000",1396/10/4
-0.06%,-9000,"13,962,000",2017/12/24,"13,960,000","13,990,000","13,947,000",1396/10/3
-0.04%,-5000,"13,950,000",2017/12/23,"13,955,000","13,990,000","13,924,000",1396/10/2
-0.29%,-40000,"13,905,000",2017/12/21,"13,915,000","13,955,000","13,897,000",1396/09/30
0.04%,5000,"13,915,000",2017/12/20,"13,920,000","13,945,000","13,875,000",1396/09/29
-0.29%,-40000,"13,942,000",2017/12/19,"13,880,000","13,974,000","13,875,000",1396/09/28
0.34%,47000,"13,850,000",2017/12/18,"13,927,000","13,967,000","13,850,000",1396/09/27
-0.58%,-80000,"13,982,000",2017/12/17,"13,847,000","13,990,000","13,827,000",1396/09/26
1.08%,150000,"14,122,000",2017/12/16,"13,997,000","14,137,000","13,952,000",1396/09/25
0.86%,120000,"14,155,000",2017/12/14,"14,117,000","14,170,000","14,102,000",1396/09/23
0.02%,3000,"14,129,000",2017/12/13,"14,120,000","14,150,000","14,095,000",1396/09/22
-0.11%,-16000,"14,117,000",2017/12/12,"14,104,000","14,177,000","14,074,000",1396/09/21
0.16%,23000,"14,095,000",2017/12/11,"14,127,000","14,195,000","14,072,000",1396/09/20
-0.28%,-40000,"14,180,000",2017/12/10,"14,087,000","14,250,000","14,045,000",1396/09/19
0.48%,68000,"13,960,000",2017/12/09,"14,155,000","14,205,000","13,952,000",1396/09/18
-0.07%,-10000,"14,170,000",2017/12/07,"14,145,000","14,195,000","14,135,000",1396/09/16
-0.04%,-5000,"14,145,000",2017/12/06,"14,140,000","14,185,000","14,120,000",1396/09/15
0.11%,15000,"14,358,000",2017/12/05,"14,155,000","14,430,000","14,110,000",1396/09/14
0.73%,103000,"13,920,000",2017/12/04,"14,258,000","14,268,000","13,915,000",1396/09/13
-2.32%,-323000,"13,948,000",2017/12/03,"13,935,000","14,040,000","13,907,000",1396/09/12
0.02%,3000,"13,805,000",2017/12/02,"13,938,000","13,938,000","13,805,000",1396/09/11
-0.89%,-123000,"13,804,000",2017/11/30,"13,815,000","13,870,000","13,752,000",1396/09/9
-0.37%,-51000,"13,568,000",2017/11/29,"13,764,000","13,774,000","13,568,000",1396/09/8
-1.5%,-204000,"13,588,000",2017/11/28,"13,560,000","13,605,000","13,540,000",1396/09/7
0.33%,45000,"13,660,000",2017/11/27,"13,605,000","13,670,000","13,560,000",1396/09/6
-0.26%,-35000,"13,657,000",2017/11/26,"13,570,000","13,680,000","13,485,000",1396/09/5
0.35%,47000,"13,818,000",2017/11/25,"13,617,000","13,977,000","13,617,000",1396/09/4
2.1%,286000,"14,130,000",2017/11/23,"13,903,000","14,248,000","13,853,000",1396/09/2
1.96%,272000,"14,506,000",2017/11/22,"14,175,000","14,536,000","14,155,000",1396/09/1
1.88%,266000,"14,285,000",2017/11/21,"14,441,000","14,484,000","14,136,000",1396/08/30
-1.63%,-231000,"14,140,000",2017/11/20,"14,210,000","14,435,000","14,105,000",1396/08/29
-0.39%,-55000,"14,160,000",2017/11/19,"14,155,000","14,195,000","14,145,000",1396/08/28
-0.07%,-10000,"14,016,000",2017/11/18,"14,145,000","14,180,000","13,990,000",1396/08/27
-1.8%,-250000,"13,899,000",2017/11/16,"13,895,000","13,900,000","13,855,000",1396/08/25
-0.09%,-12000,"13,940,000",2017/11/15,"13,883,000","13,940,000","13,866,000",1396/08/24
0.09%,12000,"13,940,000",2017/11/14,"13,895,000","13,975,000","13,825,000",1396/08/23
-0.11%,-15000,"13,705,000",2017/11/13,"13,880,000","13,990,000","13,690,000",1396/08/22
-1.09%,-150000,"13,487,000",2017/11/12,"13,730,000","13,760,000","13,472,000",1396/08/21
-1.73%,-233000,"13,564,000",2017/11/11,"13,497,000","13,635,000","13,457,000",1396/08/20
0.63%,85000,"13,494,000",2017/11/09,"13,582,000","13,594,000","13,494,000",1396/08/18
-0.63%,-85000,"13,405,000",2017/11/08,"13,497,000","13,510,000","13,405,000",1396/08/17
-0.78%,-104000,"13,450,000",2017/11/07,"13,393,000","13,482,000","13,360,000",1396/08/16
0.28%,37000,"13,292,000",2017/11/06,"13,430,000","13,445,000","13,290,000",1396/08/15
-0.96%,-128000,"13,182,000",2017/11/05,"13,302,000","13,317,000","13,165,000",1396/08/14
-0.87%,-115000,"13,155,000",2017/11/04,"13,187,000","13,192,000","13,144,000",1396/08/13
0.06%,8000,"13,170,000",2017/11/02,"13,195,000","13,215,000","13,155,000",1396/08/11
-0.11%,-15000,"13,141,000",2017/11/01,"13,180,000","13,197,000","13,141,000",1396/08/10
-0.36%,-47000,"13,135,000",2017/10/31,"13,133,000","13,160,000","13,113,000",1396/08/9
0.08%,11000,"13,168,000",2017/10/30,"13,144,000","13,180,000","13,120,000",1396/08/8
0.35%,46000,"13,186,000",2017/10/29,"13,190,000","13,220,000","13,154,000",1396/08/7
-0.12%,-16000,"13,056,000",2017/10/28,"13,174,000","13,189,000","13,056,000",1396/08/6
-1.14%,-148000,"13,090,000",2017/10/26,"13,026,000","13,107,000","13,026,000",1396/08/4
0.41%,54000,"13,127,000",2017/10/25,"13,080,000","13,127,000","13,065,000",1396/08/3
0.23%,30000,"13,076,000",2017/10/24,"13,110,000","13,130,000","13,070,000",1396/08/2
-0.41%,-54000,"12,947,000",2017/10/23,"13,056,000","13,066,000","12,945,000",1396/08/1
-0.7%,-91000,"12,944,000",2017/10/22,"12,965,000","12,970,000","12,934,000",1396/07/30
-0.1%,-13000,"13,000,000",2017/10/21,"12,952,000","13,010,000","12,930,000",1396/07/29
1.17%,151000,"13,080,000",2017/10/19,"13,103,000","13,114,000","13,080,000",1396/07/27
-0.14%,-18000,"13,099,000",2017/10/18,"13,085,000","13,125,000","13,055,000",1396/07/26
0.03%,4000,"13,118,000",2017/10/17,"13,089,000","13,118,000","13,046,000",1396/07/25
0.39%,51000,"13,147,000",2017/10/16,"13,140,000","13,190,000","13,130,000",1396/07/24
-0.03%,-4000,"13,134,000",2017/10/15,"13,136,000","13,190,000","13,077,000",1396/07/23
-0.2%,-26000,"13,145,000",2017/10/14,"13,110,000","13,145,000","13,079,000",1396/07/22
0.69%,90000,"13,122,000",2017/10/12,"13,200,000","13,235,000","13,122,000",1396/07/20
-0.98%,-128000,"13,050,000",2017/10/11,"13,072,000","13,155,000","13,020,000",1396/07/19
-0.09%,-12000,"13,055,000",2017/10/10,"13,060,000","13,160,000","13,020,000",1396/07/18
0.5%,65000,"12,940,000",2017/10/09,"13,125,000","13,205,000","12,925,000",1396/07/17
-1.2%,-155000,"12,883,000",2017/10/08,"12,970,000","12,990,000","12,820,000",1396/07/16
-0.74%,-95000,"12,560,000",2017/10/07,"12,875,000","12,910,000","12,554,000",1396/07/15
-2.75%,-345000,"12,535,000",2017/10/05,"12,530,000","12,582,000","12,521,000",1396/07/13
0.02%,2000,"12,473,000",2017/10/04,"12,532,000","12,560,000","12,473,000",1396/07/12
-0.46%,-58000,"12,431,000",2017/10/03,"12,474,000","12,496,000","12,412,000",1396/07/11
-0.27%,-33000,"12,431,000",2017/10/02,"12,441,000","12,451,000","12,406,000",1396/07/10
0.04%,5000,"12,446,000",2017/09/30,"12,446,000","12,446,000","12,446,000",1396/07/8
0.16%,20000,"12,446,000",2017/09/28,"12,466,000","12,471,000","12,426,000",1396/07/6
-0.04%,-5000,"12,437,000",2017/09/27,"12,461,000","12,471,000","12,419,000",1396/07/5
-0.1%,-12000,"12,471,000",2017/09/26,"12,449,000","12,489,000","12,419,000",1396/07/4
0.28%,35000,"12,395,000",2017/09/25,"12,484,000","12,494,000","12,385,000",1396/07/3
-0.57%,-71000,"12,380,000",2017/09/24,"12,413,000","12,423,000","12,379,000",1396/07/2
-0.29%,-36000,"12,356,000",2017/09/23,"12,377,000","12,405,000","12,356,000",1396/07/1
-0.13%,-16000,"12,403,000",2017/09/21,"12,361,000","12,403,000","12,326,000",1396/06/30
0.81%,100000,"12,456,000",2017/09/20,"12,461,000","12,488,000","12,445,000",1396/06/29
-0.29%,-36000,"12,420,000",2017/09/19,"12,425,000","12,475,000","12,420,000",1396/06/28
-0.1%,-13000,"12,438,000",2017/09/18,"12,412,000","12,438,000","12,392,000",1396/06/27
0.25%,31000,"12,473,000",2017/09/17,"12,443,000","12,514,000","12,432,000",1396/06/26
0.29%,36000,"12,537,000",2017/09/16,"12,479,000","12,540,000","12,469,000",1396/06/25
0.5%,63000,"12,575,000",2017/09/14,"12,542,000","12,599,000","12,537,000",1396/06/23
0.41%,52000,"12,699,000",2017/09/13,"12,594,000","12,753,000","12,592,000",1396/06/22
0.27%,34000,"12,548,000",2017/09/12,"12,628,000","12,655,000","12,548,000",1396/06/21
-0.45%,-56000,"12,662,000",2017/09/11,"12,572,000","12,662,000","12,562,000",1396/06/20
0.87%,110000,"12,743,000",2017/09/10,"12,682,000","12,743,000","12,667,000",1396/06/19
0.49%,62000,"12,738,000",2017/09/09,"12,744,000","12,758,000","12,725,000",1396/06/18
-0.13%,-16000,"12,650,000",2017/09/07,"12,728,000","12,738,000","12,650,000",1396/06/16
-0.54%,-68000,"12,576,000",2017/09/06,"12,660,000","12,710,000","12,556,000",1396/06/15
-0.64%,-81000,"12,564,000",2017/09/05,"12,579,000","12,589,000","12,515,000",1396/06/14
-0.16%,-20000,"12,784,000",2017/09/04,"12,559,000","12,784,000","12,554,000",1396/06/13
1.51%,190000,"12,547,000",2017/09/03,"12,749,000","12,761,000","12,532,000",1396/06/12
-1.74%,-218000,"12,349,000",2017/09/02,"12,531,000","12,568,000","12,339,000",1396/06/11
-2.19%,-268000,"12,212,000",2017/08/31,"12,263,000","12,274,000","12,195,000",1396/06/9
-0.29%,-35000,"12,251,000",2017/08/30,"12,228,000","12,270,000","12,220,000",1396/06/8
0.31%,38000,"12,265,000",2017/08/29,"12,266,000","12,324,000","12,259,000",1396/06/7
-0.08%,-10000,"12,220,000",2017/08/28,"12,256,000","12,260,000","12,217,000",1396/06/6
-0.39%,-48000,"12,174,000",2017/08/27,"12,208,000","12,231,000","12,174,000",1396/06/5
-0.29%,-35000,"12,125,000",2017/08/26,"12,173,000","12,174,000","12,125,000",1396/06/4
-0.42%,-51000,"12,116,000",2017/08/24,"12,122,000","12,131,000","12,105,000",1396/06/2
-0.13%,-16000,"12,102,000",2017/08/23,"12,106,000","12,124,000","12,098,000",1396/06/1
0.01%,1000,"12,136,000",2017/08/22,"12,107,000","12,136,000","12,097,000",1396/05/31
0.28%,34000,"12,072,000",2017/08/21,"12,141,000","12,141,000","12,063,000",1396/05/30
-0.56%,-68000,"12,089,000",2017/08/20,"12,073,000","12,098,000","12,061,000",1396/05/29
0.12%,15000,"12,108,000",2017/08/19,"12,088,000","12,119,000","12,068,000",1396/05/28
0.28%,34000,"12,141,000",2017/08/17,"12,122,000","12,153,000","12,115,000",1396/05/26
,0,"12,122,000",2017/08/16,"12,122,000","12,136,000","12,105,000",1396/05/25
0.07%,8000,"12,144,000",2017/08/15,"12,130,000","12,147,000","12,114,000",1396/05/24
0.39%,47000,"12,214,000",2017/08/14,"12,177,000","12,216,000","12,155,000",1396/05/23
0.4%,49000,"12,237,000",2017/08/13,"12,226,000","12,240,500","12,220,500",1396/05/22
0.08%,9500,"12,260,000",2017/08/12,"12,235,500","12,261,500","12,222,000",1396/05/21
-0.14%,-16500,"12,215,000",2017/08/10,"12,219,000","12,225,500","12,214,000",1396/05/19
-0.16%,-20000,"12,212,500",2017/08/09,"12,199,000","12,232,000","12,191,000",1396/05/18
0.05%,5500,"12,179,000",2017/08/08,"12,204,500","12,224,500","12,156,000",1396/05/17
-0.18%,-22000,"12,146,500",2017/08/07,"12,182,500","12,188,500","12,119,500",1396/05/16
-0.29%,-35000,"12,181,000",2017/08/06,"12,147,500","12,191,500","12,144,500",1396/05/15
0.28%,34000,"12,185,500",2017/08/05,"12,181,500","12,188,000","12,179,000",1396/05/14
0.12%,15000,"12,193,500",2017/08/03,"12,196,500","12,201,000","12,177,000",1396/05/12
0.06%,7000,"12,170,000",2017/08/02,"12,203,500","12,210,000","12,163,000",1396/05/11
-0.21%,-26000,"12,170,500",2017/08/01,"12,177,500","12,188,500","12,166,000",1396/05/10
-0.07%,-9000,"12,192,500",2017/07/31,"12,168,500","12,195,500","12,150,000",1396/05/9
0.2%,24500,"12,217,000",2017/07/30,"12,193,000","12,249,500","12,188,000",1396/05/8
0.18%,22000,"12,146,500",2017/07/29,"12,215,000","12,223,000","12,145,000",1396/05/7
-0.72%,-87000,"12,132,500",2017/07/27,"12,128,000","12,166,500","12,124,000",1396/05/5
-0.09%,-10500,"12,017,000",2017/07/26,"12,117,500","12,124,500","12,017,000",1396/05/4
-0.77%,-92000,"12,000,000",2017/07/25,"12,025,500","12,046,000","12,000,000",1396/05/3
-0.27%,-32500,"12,006,000",2017/07/24,"11,993,000","12,006,000","11,973,500",1396/05/2
0.12%,14500,"12,017,000",2017/07/23,"12,007,500","12,020,000","11,993,000",1396/05/1
0.13%,15500,"12,051,500",2017/07/22,"12,023,000","12,068,500","12,018,500",1396/04/31
0.2%,23500,"12,042,000",2017/07/20,"12,046,500","12,049,000","12,038,000",1396/04/29
-0.01%,-1500,"12,049,500",2017/07/19,"12,045,000","12,049,500","12,038,000",1396/04/28
0.04%,5000,"12,060,000",2017/07/18,"12,050,000","12,064,000","12,034,000",1396/04/27
0.09%,10500,"12,071,000",2017/07/17,"12,060,500","12,080,500","12,057,000",1396/04/26
0.1%,11500,"12,087,500",2017/07/16,"12,072,000","12,103,500","12,058,500",1396/04/25
0.12%,14500,"12,074,500",2017/07/15,"12,086,500","12,094,000","12,074,000",1396/04/24
-0.16%,-19000,"12,090,000",2017/07/13,"12,067,500","12,096,500","12,062,500",1396/04/22
0.23%,28000,"12,104,500",2017/07/12,"12,095,500","12,125,000","12,090,500",1396/04/21
0.09%,10500,"12,098,500",2017/07/11,"12,106,000","12,123,500","12,090,500",1396/04/20
0.02%,2500,"12,102,500",2017/07/10,"12,108,500","12,137,000","12,091,500",1396/04/19
-0.01%,-1000,"12,059,500",2017/07/09,"12,107,500","12,111,000","12,046,000",1396/04/18
-0.36%,-43000,"12,104,500",2017/07/08,"12,064,500","12,107,000","12,062,000",1396/04/17
0.45%,54500,"12,121,000",2017/07/06,"12,119,000","12,124,000","12,111,500",1396/04/15
0.02%,3000,"12,115,000",2017/07/05,"12,122,000","12,135,500","12,109,000",1396/04/14
-0.02%,-3000,"12,143,000",2017/07/04,"12,119,000","12,144,000","12,109,500",1396/04/13
0.19%,23500,"12,178,000",2017/07/03,"12,142,500","12,183,000","12,139,000",1396/04/12
0.35%,42500,"12,184,500",2017/07/02,"12,185,000","12,195,500","12,179,500",1396/04/11
-0.03%,-4000,"12,153,500",2017/07/01,"12,181,000","12,195,000","12,151,000",1396/04/10
-0.18%,-22000,"12,150,000",2017/06/29,"12,159,000","12,167,500","12,148,000",1396/04/8
-0.09%,-10500,"12,128,500",2017/06/28,"12,148,500","12,151,000","12,121,500",1396/04/7
-0.15%,-18500,"12,125,000",2017/06/27,"12,130,000","12,134,000","12,125,000",1396/04/6
-0.04%,-4500,"12,138,500",2017/06/26,"12,125,500","12,138,500","12,122,500",1396/04/5
0.1%,12500,"12,111,000",2017/06/25,"12,138,000","12,140,500","12,095,500",1396/04/4
-0.24%,-29000,"12,115,500",2017/06/24,"12,109,000","12,140,000","12,106,000",1396/04/3
0.07%,8000,"12,096,500",2017/06/22,"12,117,000","12,125,500","12,096,000",1396/04/1
-0.23%,-27500,"12,124,500",2017/06/21,"12,089,500","12,124,500","12,075,000",1396/03/31
0.24%,29500,"12,120,500",2017/06/20,"12,119,000","12,140,000","12,094,500",1396/03/30
,-500,"12,199,000",2017/06/19,"12,118,500","12,207,000","12,116,500",1396/03/29
0.63%,76500,"12,160,500",2017/06/18,"12,195,000","12,228,000","12,152,500",1396/03/28
-0.25%,-30500,"12,031,500",2017/06/17,"12,164,500","12,172,000","12,029,000",1396/03/27
-1.37%,-164500,"12,003,000",2017/06/15,"12,000,000","12,004,500","11,990,000",1396/03/25
0.12%,14500,"12,012,000",2017/06/14,"12,014,500","12,020,000","11,998,000",1396/03/24
-0.05%,-6500,"11,996,000",2017/06/13,"12,008,000","12,008,000","11,976,000",1396/03/23
-0.15%,-18000,"11,997,000",2017/06/12,"11,990,000","12,009,000","11,983,000",1396/03/22
0.08%,10000,"11,983,000",2017/06/11,"12,000,000","12,014,500","11,981,500",1396/03/21
-0.13%,-16000,"12,014,000",2017/06/10,"11,984,000","12,017,500","11,972,000",1396/03/20
0.38%,45500,"12,049,500",2017/06/08,"12,029,500","12,054,500","12,024,000",1396/03/18
0.19%,23000,"12,049,000",2017/06/07,"12,052,500","12,078,500","12,047,500",1396/03/17
-0.01%,-1500,"12,029,500",2017/06/06,"12,051,000","12,064,500","12,029,500",1396/03/16
-0.28%,-34000,"12,026,500",2017/06/05,"12,017,000","12,030,500","12,009,500",1396/03/15
0.1%,11500,"12,028,000",2017/06/04,"12,028,500","12,031,000","12,025,500",1396/03/14
-0.01%,-1500,"12,007,000",2017/06/03,"12,027,000","12,032,000","12,007,000",1396/03/13
-0.19%,-23000,"11,987,500",2017/06/01,"12,004,000","12,010,500","11,983,500",1396/03/11
-0.12%,-14000,"11,991,000",2017/05/31,"11,990,000","11,998,000","11,968,000",1396/03/10
0.05%,6000,"12,036,500",2017/05/30,"11,996,000","12,044,500","11,988,000",1396/03/9
0.41%,49500,"12,067,500",2017/05/29,"12,045,500","12,074,500","12,043,000",1396/03/8
0.17%,20000,"12,054,000",2017/05/28,"12,065,500","12,076,500","12,043,000",1396/03/7
-0.09%,-10500,"12,035,000",2017/05/27,"12,055,000","12,088,500","12,026,500",1396/03/6
-0.22%,-26000,"11,991,000",2017/05/25,"12,029,000","12,038,000","11,991,000",1396/03/4
-0.37%,-44500,"12,062,000",2017/05/24,"11,984,500","12,062,000","11,975,500",1396/03/3
0.63%,75000,"12,118,500",2017/05/23,"12,059,500","12,148,500","12,058,000",1396/03/2
0.46%,56000,"12,152,500",2017/05/22,"12,115,500","12,152,500","12,085,000",1396/03/1
0.3%,36000,"12,169,500",2017/05/21,"12,151,500","12,197,500","12,148,000",1396/02/31
0.13%,16000,"12,201,000",2017/05/20,"12,167,500","12,201,000","12,160,000",1396/02/30
0.36%,43500,"12,255,500",2017/05/18,"12,211,000","12,265,000","12,201,000",1396/02/28
0.37%,45500,"12,166,500",2017/05/17,"12,256,500","12,271,500","12,166,500",1396/02/27
-0.87%,-106000,"12,128,000",2017/05/16,"12,150,500","12,170,500","12,101,500",1396/02/26
-0.24%,-28500,"12,145,500",2017/05/15,"12,122,000","12,171,500","12,115,000",1396/02/25
0.15%,18500,"12,096,500",2017/05/14,"12,140,500","12,151,000","12,091,500",1396/02/24
-0.39%,-47000,"12,086,000",2017/05/13,"12,093,500","12,105,000","12,060,000",1396/02/23
-0.08%,-10000,"12,062,500",2017/05/11,"12,083,500","12,090,000","12,061,000",1396/02/21
-0.19%,-23500,"12,049,000",2017/05/10,"12,060,000","12,068,000","12,041,000",1396/02/20
-0.22%,-27000,"12,031,000",2017/05/09,"12,033,000","12,046,500","11,996,500",1396/02/19
-0.01%,-1000,"11,963,500",2017/05/08,"12,032,000","12,049,500","11,957,500",1396/02/18
-0.64%,-76000,"11,923,000",2017/05/07,"11,956,000","11,960,500","11,866,500",1396/02/17
0.02%,2000,"12,045,000",2017/05/06,"11,958,000","12,045,000","11,950,500",1396/02/16
1.02%,122000,"12,084,000",2017/05/04,"12,080,000","12,088,000","12,058,000",1396/02/14
0.27%,33000,"12,100,000",2017/05/03,"12,113,000","12,135,000","12,086,000",1396/02/13
-0.17%,-21000,"12,125,000",2017/05/02,"12,092,000","12,132,000","12,084,000",1396/02/12
0.35%,42000,"12,201,000",2017/05/01,"12,134,000","12,201,000","12,132,000",1396/02/11
0.56%,68000,"12,187,500",2017/04/30,"12,202,000","12,210,500","12,187,500",1396/02/10
-0.11%,-14000,"12,194,000",2017/04/29,"12,188,000","12,198,000","12,159,500",1396/02/9
0.13%,16000,"12,214,500",2017/04/27,"12,204,000","12,218,000","12,199,500",1396/02/7
-0.04%,-4500,"12,195,500",2017/04/26,"12,199,500","12,212,500","12,188,000",1396/02/6
-0.03%,-3500,"12,202,500",2017/04/25,"12,196,000","12,208,500","12,192,500",1396/02/5
0.06%,7500,"12,244,000",2017/04/24,"12,203,500","12,244,000","12,185,000",1396/02/4
0.38%,46500,"12,235,000",2017/04/23,"12,250,000","12,266,000","12,221,500",1396/02/3
-0.16%,-20000,"12,170,500",2017/04/22,"12,230,000","12,237,500","12,165,000",1396/02/2
-0.49%,-60000,"12,159,000",2017/04/20,"12,170,000","12,173,500","12,141,500",1396/01/31
-0.02%,-3000,"12,226,000",2017/04/19,"12,167,000","12,226,000","12,162,500",1396/01/30
0.44%,54000,"12,273,500",2017/04/18,"12,221,000","12,273,500","12,190,000",1396/01/29
0.47%,58000,"12,228,500",2017/04/17,"12,279,000","12,306,000","12,196,000",1396/01/28
-0.43%,-53000,"12,161,000",2017/04/16,"12,226,000","12,236,000","12,149,500",1396/01/27
-0.51%,-62000,"12,100,500",2017/04/15,"12,164,000","12,170,000","12,097,500",1396/01/26
-0.75%,-90500,"12,079,000",2017/04/13,"12,073,500","12,092,500","12,066,500",1396/01/24
-0.1%,-12000,"12,020,000",2017/04/12,"12,061,500","12,075,000","12,015,000",1396/01/23
-0.41%,-49000,"11,997,500",2017/04/11,"12,012,500","12,022,500","11,997,500",1396/01/22
-0.1%,-12500,"12,015,000",2017/04/10,"12,000,000","12,026,500","11,987,500",1396/01/21
0.12%,14500,"12,020,000",2017/04/09,"12,014,500","12,050,000","12,009,000",1396/01/20
